Date,Open,High,Low,Close,% change,Volume,TurnOver
2022-08-03,954.00,972.00,947.00,952.00,-1.14,39472.00,37811112.70
2022-08-02,972.00,987.00,945.00,963.00,-0.92,51573.00,49411242.80
2022-08-01,999.00,999.00,965.00,971.90,-0.83,72707.00,71017524.60
2022-07-31,960.00,1007.70,960.00,980.00,2.19,154031.00,152320485.50
2022-07-29,935.00,983.00,916.30,959.00,2.57,51727.00,49052642.70
2022-07-28,915.00,944.50,907.50,935.00,0.86,55559.00,51496022.10
2022-07-27,891.00,927.00,882.00,927.00,3.00,39149.00,35332626.00
2022-07-26,934.00,937.00,897.00,900.00,-3.22,49855.00,45549371.30
2022-07-25,924.00,941.00,911.10,929.90,0.53,124350.00,115107405.40
2022-07-24,888.40,925.00,870.00,925.00,6.20,27976.00,24920659.20
2022-07-22,895.00,895.00,867.00,871.00,-2.67,21218.00,18582480.40
2022-07-21,888.00,922.00,871.00,894.90,0.78,36206.00,32366212.60
2022-07-20,889.00,889.80,865.10,888.00,0.91,37398.00,33067830.20
2022-07-19,875.10,892.50,870.00,880.00,0.11,57669.00,50702165.40
2022-07-18,870.00,879.90,856.00,879.00,1.75,46620.00,40473303.50
2022-07-17,879.00,879.00,860.00,863.90,-1.71,51593.00,44604008.80
2022-07-15,871.10,893.00,871.10,878.90,-0.91,13897.00,12197972.70
2022-07-14,902.90,902.90,870.00,887.00,-0.22,55173.00,48769606.10
2022-07-13,857.20,890.00,845.00,889.00,5.78,74362.00,64049616.20
2022-07-12,861.00,865.00,835.00,840.40,-0.54,46784.00,39513560.30
2022-07-11,890.00,890.00,841.00,845.00,-3.87,44078.00,37505766.00
2022-07-08,882.00,911.70,870.00,879.00,-1.35,42351.00,37344917.10
2022-07-07,929.90,930.20,890.00,891.00,-2.30,27912.00,25184093.40
2022-07-06,917.00,919.00,875.00,912.00,1.22,27691.00,24715289.90
2022-07-05,925.00,956.00,898.70,901.00,-3.94,41885.00,38438490.30
2022-07-04,966.90,973.00,910.00,938.00,-1.05,62641.00,59627639.30
2022-07-03,890.00,953.00,885.10,948.00,5.92,36721.00,33902958.60
2022-07-01,928.20,928.20,893.50,895.00,-1.65,26002.00,23485213.70
2022-06-30,890.00,911.00,883.00,910.00,4.00,34324.00,30923907.60
2022-06-29,851.00,886.90,851.00,875.00,1.27,12249.00,10724066.40
2022-06-28,863.00,879.90,850.00,864.00,-1.82,28864.00,24750723.20
2022-06-27,920.00,921.80,874.00,880.00,-4.02,42005.00,37445281.00
2022-06-26,883.90,916.90,870.00,916.90,5.76,51086.00,45202194.10
2022-06-24,859.90,870.00,835.00,867.00,2.00,14587.00,12389771.80
2022-06-23,865.00,865.00,828.50,850.00,-1.16,22562.00,18919955.80
2022-06-22,875.00,885.00,844.00,860.00,-2.27,12801.00,11044761.00
2022-06-21,845.00,880.00,838.00,880.00,3.17,136279.00,117292842.20
2022-06-20,867.50,867.50,835.00,853.00,-1.67,128182.00,109226722.20
2022-06-19,891.00,891.00,849.80,867.50,-2.53,117343.00,102989761.80
2022-06-17,899.00,912.00,885.00,890.00,-0.56,112759.00,101470879.90
2022-06-16,850.00,899.60,850.00,895.00,3.47,159073.00,138897151.40
2022-06-15,853.00,870.00,842.90,865.00,1.17,146823.00,125714649.70
2022-06-14,883.00,905.00,855.00,855.00,-3.93,15545.00,13447752.60
2022-06-13,890.00,905.10,875.00,890.00,0.20,8215.00,7247166.00
2022-06-10,906.90,906.90,881.00,888.20,-2.06,6406.00,5718460.10
2022-06-09,930.00,939.00,895.00,906.90,-1.96,22172.00,20215204.90
2022-06-08,872.20,940.00,872.20,925.00,4.05,14430.00,13175115.90
2022-06-07,922.00,922.00,880.00,889.00,-2.31,12180.00,10805245.40
2022-06-06,906.00,915.00,888.00,910.00,0.66,12185.00,11008694.40
2022-06-03,897.00,914.00,890.00,904.00,-1.20,14867.00,13366302.20
2022-06-02,945.00,945.00,900.00,915.00,-1.72,29228.00,26575195.10
2022-06-01,930.00,937.00,915.00,931.00,0.34,8733.00,8067757.20
2022-05-31,935.00,945.90,905.00,927.80,-0.77,24885.00,22945844.00
2022-05-30,967.00,970.00,932.00,935.00,-2.50,52281.00,49638975.20
2022-05-27,990.00,990.00,950.00,959.00,-2.29,19698.00,18878412.50
2022-05-26,1000.00,1002.00,968.00,981.50,-1.36,16611.00,16273993.80
2022-05-25,1002.00,1002.00,970.00,995.00,0.71,8376.00,8238194.50
2022-05-24,979.00,991.00,946.00,988.00,0.92,7115.00,6952959.20
2022-05-23,990.00,990.00,945.70,979.00,0.62,24855.00,23851434.40
2022-05-20,1005.00,1005.00,973.00,973.00,-1.72,14516.00,14240090.50
2022-05-19,996.00,1015.90,980.00,990.00,-0.60,12366.00,12320737.10
2022-05-18,962.40,1013.90,962.40,996.00,1.43,14598.00,14522548.70
2022-05-17,1058.00,1058.00,980.00,982.00,-6.80,27925.00,28065694.10
2022-05-12,1050.00,1070.00,1029.10,1053.60,0.34,51491.00,53855767.60
2022-05-11,1040.00,1050.00,1018.00,1050.00,1.07,35061.00,36268793.60
2022-05-10,1020.00,1050.00,1005.00,1038.90,1.85,37180.00,38289435.60
2022-05-09,1010.00,1028.00,980.00,1020.00,0.99,77958.00,78353899.10
2022-05-08,982.00,1010.00,947.00,1010.00,2.85,16033.00,15665781.50
2022-05-05,980.00,989.00,945.00,982.00,0.20,22683.00,21880216.90
2022-05-04,1000.00,1000.00,933.60,980.00,-0.91,35215.00,34034789.30
2022-05-02,1032.90,1032.90,987.00,989.00,-3.98,33068.00,32985415.40
2022-04-28,1054.00,1054.00,1020.00,1030.00,-1.81,11410.00,11785430.50
2022-04-27,1020.20,1050.50,1020.20,1049.00,1.07,19711.00,20432215.70
2022-04-26,1021.00,1052.00,1020.00,1037.90,-0.20,12822.00,13243259.40
2022-04-25,1060.00,1069.00,1029.00,1040.00,-2.35,26904.00,28130613.30
2022-04-24,1044.00,1081.00,1022.00,1065.00,3.90,30215.00,32008254.50
2022-04-21,1005.00,1029.00,993.00,1025.00,3.02,23004.00,23218244.20
2022-04-20,1049.00,1050.00,995.00,995.00,-3.68,21929.00,22060448.00
2022-04-19,1004.00,1049.00,994.00,1033.00,1.77,18361.00,18633859.20
2022-04-18,1060.00,1060.00,1008.00,1015.00,-3.33,16956.00,17332743.70
2022-04-17,1070.00,1087.00,1035.00,1050.00,-1.50,47487.00,49947381.60
2022-04-13,1050.00,1067.00,1028.00,1066.00,3.00,20960.00,22041254.30
2022-04-12,1080.00,1080.00,1035.00,1035.00,-2.36,27042.00,28262863.00
2022-04-11,1152.00,1175.00,1060.00,1060.00,-6.19,44131.00,48433237.90
2022-04-07,1089.00,1130.00,1056.10,1130.00,5.81,41082.00,45347757.20
2022-04-06,1042.00,1089.30,1034.00,1068.00,1.88,32725.00,34812311.60
2022-04-05,1095.00,1109.00,1045.00,1048.30,-4.70,47890.00,51003393.40
2022-04-04,1098.60,1150.00,1090.80,1100.00,-1.87,33349.00,36933591.40
2022-04-03,1173.00,1173.00,1120.00,1121.00,-4.19,14704.00,16685099.90
2022-03-31,1182.00,1199.00,1150.00,1170.00,-1.02,22156.00,25949825.40
2022-03-30,1142.90,1184.90,1121.20,1182.00,5.04,59049.00,68317489.70
2022-03-29,1121.00,1153.00,1121.00,1125.30,-0.72,35001.00,39678365.20
2022-03-28,1170.00,1170.00,1130.00,1133.50,-3.12,45167.00,51690628.50
2022-03-27,1230.00,1230.00,1147.10,1170.00,-4.16,80695.00,95951290.60
2022-03-24,1511.00,1514.90,1464.00,1465.00,-2.85,158549.00,235068587.00
2022-03-23,1532.00,1532.00,1490.00,1508.00,-1.31,50574.00,76076968.70
2022-03-22,1490.00,1530.00,1490.00,1528.00,1.60,71266.00,107196564.30
2022-03-21,1546.00,1555.00,1490.00,1504.00,-2.97,139287.00,209457229.90
2022-03-20,1569.00,1575.00,1539.10,1550.00,-1.15,56827.00,88248493.80
2022-03-16,1626.00,1628.00,1538.10,1568.00,-3.57,103828.00,163601781.90
2022-03-15,1748.20,1748.20,1626.00,1626.00,-5.13,203098.00,342357194.20
2022-03-14,1684.00,1729.90,1684.00,1714.00,-0.06,27074.00,46234629.90
2022-03-13,1647.10,1715.00,1645.00,1715.00,4.19,116597.00,196195583.30
2022-03-10,1660.30,1685.00,1636.80,1646.00,-2.02,79402.00,131256223.50
2022-03-09,1655.30,1714.00,1643.70,1680.00,-0.53,62897.00,105221599.50
2022-03-07,1643.00,1695.00,1632.00,1689.00,3.18,75648.00,126276486.70
2022-03-06,1648.00,1649.90,1603.00,1637.00,0.80,51278.00,83193722.40
2022-03-02,1650.00,1660.00,1617.00,1624.00,-3.04,86931.00,141985351.90
2022-02-28,1705.00,1710.00,1651.00,1675.00,-1.41,65556.00,109625509.20
2022-02-27,1690.00,1725.00,1659.00,1699.00,0.53,112304.00,190626197.70
2022-02-24,1691.50,1741.00,1662.20,1690.00,-2.09,147895.00,253572127.00
2022-02-23,1743.50,1799.00,1725.00,1726.00,-2.98,110212.00,193785554.00
2022-02-22,1702.30,1799.90,1702.30,1779.00,2.42,121539.00,214967421.20
2022-02-21,1701.00,1744.00,1693.00,1737.00,1.58,153445.00,265013560.40
2022-02-20,1645.50,1711.00,1629.10,1710.00,1.85,112672.00,190296150.80
